module,category,total_bugs,severity_weighted_total,critical_count,major_count,normal_count,minor_count,edf_count,ux_count,mx_count,mui_count,side_effect_count,at_found_count,function_count,stability_count,performance_count,regression_count,crash_count,anr_count,ui_count,localization_count,iap_count,regression_rate,automation_catch_rate,avg_repro_rate,median_repro_rate,avg_days_to_close,median_days_to_close,avg_builds_to_fix,median_builds_to_fix,open_count,closed_count,postpone_count,unique_reporters,probability_score_auto,impact_score,detectability_score,risk_score_final,quadrant,parsed_module,scoring_method,ai_reasoning
Shortcut(AI Cartoon),Shortcut,12,65,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,4.363636363636363,5.0,0.0,0.0,0.0,0.0,0.0,4,5,5,5,125,Q4 - Test First,Shortcut(AI Cartoon),ollama,High impact due to high number of major bugs and critical bug.
Preferences,UI & Settings,4,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.5,0.5,3.75,4.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Preferences,ollama,"The module Preferences has a high number of major bugs (4) which could have a significant impact on the user experience. As it's part of UI & Settings, any bugs could be easily detectable by users."
Ripple Editing,Editor Core,13,62,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,3.8333333333333335,2.5,0.0,0.0,0.0,0.0,0.0,3,5,5,5,125,Q4 - Test First,Ripple Editing,ollama,High risk due to high number of major bugs (12) in critical module (Ripple Editing) with Editor Core category
Auto Edit (Party 01),Editor Core,12,60,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,17.75,7.0,0.0,0.0,0.0,0.0,0.0,3,5,5,5,125,Q4 - Test First,Auto Edit (Party 01),ollama,High impact and detectability due to high number of major bugs and high regression rate in the Auto Edit (Party 01) module of the Editor Core category
Titles,Text & Captions,12,60,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Titles,ollama,High impact on user experience due to multiple critical issues in titles text & captions module
Cutout(Advanced),Background & Cutout,12,60,0,12,0,0,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0,0.0,0.5,0.5,23.0,12.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Cutout(Advanced),ollama,High risk due to high number of major bugs and potential regression issues in a critical module
Auto Edit(Family 01),Editor Core,15,75,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,27.357142857142858,7.5,0.0,0.0,0.0,0.0,0.0,2,5,5,5,125,Q4 - Test First,Auto Edit(Family 01),ollama,"High impact due to the critical nature of the Editor Core module, and high detectability due to the large number of bugs (15) and 100% major issues."
Portrait,Enhance & Fix,6,30,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,9.5,9.5,0.0,0.0,0.0,0.0,0.0,2,5,5,5,125,Q4 - Test First,Portrait,ollama,"High risk due to high number of major bugs in the Portrait module, indicating potential issues in the enhancement and fixing process"
Music (Favorite),Audio,4,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.5,0.5,13.25,14.0,0.0,0.0,0.0,0.0,0.0,2,5,5,5,125,Q4 - Test First,Music (Favorite),ollama,"High impact due to potential data loss or corruption, with high detectability due to the critical nature of the Audio module."
Auto Edit (Travel 01),Editor Core,15,75,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,29.46153846153846,7.0,0.0,0.0,0.0,0.0,1.0,2,5,5,5,125,Q4 - Test First,Auto Edit (Travel 01),ollama,High risk due to high number of major bugs and potential impact on editor core functionality
Shortcut(AI Video Upscaler),Enhance & Fix,14,75,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,28.53846153846154,10.0,0.0,0.0,0.0,0.0,0.0,3,5,5,5,125,Q4 - Test First,Shortcut(AI Video Upscaler),ollama,High risk due to high number of critical bugs (13/14) and high critical bug percentage (1/14)
AI Storytelling (Text),AI Features,23,76,0,10,13,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,17.5,9.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,AI Storytelling (Text),ollama,"High impact AI feature with potential for significant errors, detectability is high due to automated testing and review processes"
Shortcut(Mosaic/Stabilizer/Body Effect),Enhance & Fix,3,20,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,8.666666666666666,6.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Shortcut(Mosaic/Stabilizer/Body Effect),ollama,"High impact due to critical and major bugs, with high detectability due to automation catch rate being 0"
Mask,Background & Cutout,18,81,0,15,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,48.833333333333336,9.0,0.0,0.0,0.0,0.0,0.0,7,5,5,5,125,Q4 - Test First,Mask,ollama,"High risk due to high number of major bugs (15) in the Mask module, which is a critical component of the Background & Cutout category."
Auto Edit(Basketball),Editor Core,6,30,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,68.83333333333333,40.0,0.0,0.0,0.0,0.0,0.0,2,5,5,5,125,Q4 - Test First,Auto Edit(Basketball),ollama,High risk due to high number of major bugs (6) in the Auto Edit(Basketball) module of the Editor Core category.
Auto Edit(Camping),Editor Core,5,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,49.75,62.0,0.0,0.0,0.0,0.0,0.0,2,5,5,5,125,Q4 - Test First,Auto Edit(Camping),ollama,"The module has a high number of major bugs (5) and a regression rate of 0.000, indicating a high potential for unintended behavior. It also has a low automation catch rate, suggesting that automated testing is not effective in detecting issues in this module."
Launcher(Project),Editor Core,18,84,0,16,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.5,0.5,35.4375,3.0,0.0,0.0,0.0,0.0,1.0,4,5,5,5,125,Q4 - Test First,Launcher(Project),ollama,"Launcher module in Project category of Editor Core has 16 major bugs with 0% automation catch rate and 0% regression rate, indicating high risk of undetected and severe issues."
IAP(JP Golden Week),IAP,20,91,0,17,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,6.1,6.0,0.0,0.0,0.0,0.0,0.0,2,5,5,5,125,Q4 - Test First,IAP(JP Golden Week),ollama,Major regression bugs during a high-traffic period like Golden Week may cause significant revenue loss and damage to the company's reputation.
Audio Mixing,Audio,19,92,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,54.526315789473685,22.0,0.0,0.0,0.0,0.0,0.0,6,5,5,5,125,Q4 - Test First,Audio Mixing,ollama,High risk due to large number of major bugs in Audio Mixing module
Text(Neon),Text & Captions,18,95,1,17,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,67.6470588235294,6.0,0.0,0.0,0.0,0.0,0.0,3,5,5,5,125,Q4 - Test First,Text(Neon),ollama,High impact and detectability due to 17 major bugs and no critical bugs automated.
Credit System(Buy More),UI & Settings,6,30,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,3.6,4.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Credit System(Buy More),ollama,"UI changes in the Buy More module of the Credit System can lead to unforeseen consequences and errors, potentially affecting user's ability to make transactions."
Opening intro,Launcher,20,100,0,20,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,4.611111111111111,4.0,0.0,0.0,0.0,0.0,0.0,5,5,5,5,125,Q4 - Test First,Opening intro,ollama,Critical module with high regression rate and no automation
Credit System(IAP),UI & Settings,5,25,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,2.5,2.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Credit System(IAP),ollama,"High risk due to multiple critical bugs (Major=5), indicating potential security vulnerabilities in the Credit System (IAP)"
My Cloud(Select),Cloud,4,20,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,My Cloud(Select),ollama,"High impact due to critical data in the cloud, and high detectability due to automated testing in place"
Photo Enhance,Enhance & Fix,13,59,0,11,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,9.666666666666666,5.0,0.0,0.0,0.0,0.0,0.0,2,5,5,5,125,Q4 - Test First,Photo Enhance,ollama,High impact and detectability due to critical functionality and high number of major bugs.
GDPR,UI & Settings,12,59,1,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0.0833,0.0,0.5,0.5,7.636363636363637,6.0,0.0,0.0,0.0,0.0,0.0,4,5,5,5,125,Q4 - Test First,GDPR,ollama,"High impact and detectability due to GDPR regulations and 9 major bugs, with 1 critical bug indicating a severe risk."
Tutorials & Tips,UI & Settings,9,45,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.5,0.5,8.75,10.0,0.0,0.0,0.0,0.0,0.0,4,5,5,5,125,Q4 - Test First,Tutorials & Tips,ollama,"High risk due to high number of major bugs in the Tutorials & Tips module, UI & Settings category, with no automation catch rate and no critical bugs."
Motion (Overall),Visual Effects,7,35,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,41.714285714285715,27.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Motion (Overall),ollama,High risk due to high number of major bugs and high regression rate
Auto Caption(Caption List),Text & Captions,7,35,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,4.333333333333333,5.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Auto Caption(Caption List),ollama,"High impact due to potential captioning errors in a critical feature, detectability is high as it's related to text output, and it's a major bug"
Shortcut(Trim),Shortcut,7,35,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,51.5,10.5,0.0,0.0,0.0,0.0,0.0,2,5,5,5,125,Q4 - Test First,Shortcut(Trim),ollama,"This module is critical to the application's core functionality, and any bugs in it would likely have a significant impact on the users. However, the automation catch rate is 0, which means that even if there are bugs, they are not being caught by our automated tests, making it hard to detect and reason about the risk."
Title (Animation),Text & Captions,7,35,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,4.166666666666667,1.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Title (Animation),ollama,"The module Title (Animation) has a high risk due to 7 major bugs and no critical ones, indicating a potential for severe impact if not addressed. Its detectability is high due to the large number of bugs, making it likely to be identified."
NewTimeline,Editor Core,7,35,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7.333333333333333,7.0,0.0,0.0,0.0,0.0,1.0,3,5,5,5,125,Q4 - Test First,NewTimeline,ollama,"High risk due to high number of major bugs (7) in critical module NewTimeline of Editor Core category without any critical bugs, indicating potential for significant user impact if undetected"
Auto Edit (Travel_03_title),Editor Core,7,35,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,12.571428571428571,7.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Auto Edit (Travel_03_title),ollama,High risk due to multiple Major bugs and low automation catch rate
Auto Edit (Travel 05),Editor Core,7,35,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,18.714285714285715,7.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Auto Edit (Travel 05),ollama,High impact due to Major bugs and potential regression issues in Editor Core module
IAP(C version),IAP,8,40,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,6.875,5.0,0.0,0.0,0.0,0.0,0.0,2,5,5,5,125,Q4 - Test First,IAP(C version),ollama,"High risk due to significant business impact and potential security vulnerabilities in IAP(C) module, with 8 major defects detected and no critical or automated catches."
Auto Edit(Music),Editor Core,9,42,0,8,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,8.0,5.0,0.0,0.0,0.0,0.0,1.0,4,5,5,5,125,Q4 - Test First,Auto Edit(Music),ollama,"High impact due to high number of major bugs in critical Editor Core module, which could lead to significant music editing errors"
Auto Edit (Pet 01),Editor Core,4,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7.5,7.5,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Auto Edit (Pet 01),ollama,High risk due to high number of Major bugs (4) and potential for significant impact on the Editor Core functionality
Shortcut(Mosaic),Shortcut,9,45,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,53.625,19.0,0.0,0.0,0.0,0.0,0.0,3,5,5,5,125,Q4 - Test First,Shortcut(Mosaic),ollama,"High impact due to major bugs, but low detectability due to automation catch rate"
Auto Edit (Party 02),Editor Core,9,45,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,34.666666666666664,7.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Auto Edit (Party 02),ollama,High risk due to high number of major bugs in Editor Core module
Notification,Notification,8,45,1,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.5,0.5,96.42857142857144,5.0,0.0,0.0,0.0,0.0,0.0,5,5,5,5,125,Q4 - Test First,Notification,ollama,"High impact due to module being a core part of the system, and low detectability due to lack of automation and few critical issues."
AI Art(Recent Task),AI Features,5,25,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,5.6,5.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,AI Art(Recent Task),ollama,"High impact due to AI Art being a recent task and critical for the module's functionality, high detectability due to automated testing"
User Sign in,Sign In,3,15,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,24.333333333333332,10.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,User Sign in,ollama,"Sign in functionality is critical and a regression could lead to unauthorized access, which is easily detectable."
Preview,Export & Output,11,57,1,9,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,62.111111111111114,24.0,0.0,0.0,0.0,0.0,0.0,3,5,5,5,125,Q4 - Test First,Preview,ollama,"High risk due to high number of major bugs and potential regression issues in the Preview module, which affects Export & Output functionality."
Timeline (font),Editor Core,9,45,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,30.0,27.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Timeline (font),ollama,"High impact due to major issues in the Editor Core module, making it difficult to detect and requiring a high degree of scrutiny."
Toolbar,UI & Settings,10,47,0,9,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,31.4,6.5,0.0,0.0,0.0,0.0,0.0,3,5,5,5,125,Q4 - Test First,Toolbar,ollama,High impact due to UI and settings module affecting overall user experience. High detectability due to its visibility in the application.
Auto Edit (Relationship 01),Editor Core,4,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7.5,7.5,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Auto Edit (Relationship 01),ollama,"High risk due to high number of critical bugs (4/4) in the Auto Edit module, indicating a potential for severe functionality impact."
Music(Meta),Audio,5,25,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.5,0.5,5.666666666666667,5.0,0.0,0.0,0.0,0.0,0.0,2,5,5,5,125,Q4 - Test First,Music(Meta),ollama,"The 'Music(Meta)' module in the 'Audio' category has a high number of major bugs (5) with no critical bugs and a very low regression and automation catch rate, indicating a high potential for issues that could significantly impact the system and are difficult to detect."
Credit system,UI & Settings,10,50,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,52.625,10.0,0.0,0.0,0.0,0.0,0.0,4,5,5,5,125,Q4 - Test First,Credit system,ollama,"High impact due to critical data handling, and high detectability due to user-facing UI and settings."
Shortcut(Cutout),Background & Cutout,9,50,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,18.5,14.5,0.0,0.0,0.0,0.0,0.0,4,5,5,5,125,Q4 - Test First,Shortcut(Cutout),ollama,"High impact due to high number of major bugs (8) and high regression rate, but detectability is high due to automation catch rate of 0%"
Text(Neon_07),Text & Captions,4,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,16.0,6.5,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Text(Neon_07),ollama,High impact due to high number of major bugs and potential for regression.
Tool Menu,UI & Settings,10,50,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,17.1,6.5,0.0,0.0,0.0,0.0,0.0,2,5,5,5,125,Q4 - Test First,Tool Menu,ollama,"UI and settings are critical components of the application, a major bug here indicates significant risk. The lack of automation catch rate and regression rate also indicates high risk."
Sign In,Sign In,9,52,2,6,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.5,0.5,7.875,4.5,0.0,0.0,0.0,0.0,0.0,4,5,5,5,125,Q4 - Test First,Sign In,ollama,"Sign In module is a critical component of the application, and any defects in this module can have a significant impact on the user's ability to access the application. Given the high number of critical and major bugs (2 + 6 = 8) and the low automation catch rate (0.000), it is likely that these bugs will go undetected and have a significant impact if not properly addressed."
AI Smart Tools,AI Features,11,55,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,5.636363636363637,4.0,0.0,0.0,0.0,0.0,0.0,2,5,5,5,125,Q4 - Test First,AI Smart Tools,ollama,High impact due to high number of major bugs and high detectability due to automation catch rate of 0.
MGT(Style),Text & Captions,10,55,1,9,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,11.5,12.5,0.0,0.0,0.0,0.0,1.0,3,5,5,5,125,Q4 - Test First,MGT(Style),ollama,"High impact and detectability due to critical and major bugs in the MGT(Style) module, which is a key feature in the Text & Captions category."
"Text, Title, MGT",Text & Captions,11,55,0,11,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,116.4,6.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,"Text, Title, MGT",ollama,High risk due to high number of major bugs and regression rate
Auto Edit (Wedding 01),Editor Core,5,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,6.0,7.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Auto Edit (Wedding 01),ollama,"Critical issues identified in the Auto Edit module for Wedding 01, indicating a high risk of severe impact and difficulty in detecting."
Auto Edit (Birthday_05_title),Editor Core,5,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,13.8,6.0,312.6666666666667,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Auto Edit (Birthday_05_title),ollama,High-impact bug due to potential data inconsistencies in user profiles
Timeline(text),Editor Core,5,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,9.0,6.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Timeline(text),ollama,High impact and detectability due to high number of major bugs and zero automation catch rate in the Timeline module of Editor Core category.
Halloween Interstitial,UI & Settings,7,35,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0.0,0.0,0.5,0.5,3.7142857142857144,4.0,0.0,0.0,0.0,0.0,0.0,2,5,5,5,125,Q4 - Test First,Halloween Interstitial,ollama,High impact and detectability due to UI and settings category and high number of major bugs
Setup,QA / Testing,69,345,0,69,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0.0,1.0,0.5,0.5,12.4,11.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Setup,ollama,"The high number of major bugs in the Setup module indicates a potential risk, but the automation catch rate is 100%, suggesting that these bugs are being caught and addressed. However, the regression rate is 0, which is unusual and may indicate a lack of thorough testing or a flaw in the automation process."
Auto Edit (Parkour 01),Editor Core,5,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,6.0,4.5,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Auto Edit (Parkour 01),ollama,Critical functionality affected due to high regression rate
Social Sign In(Google),Sign In,3,15,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,29.666666666666668,34.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Social Sign In(Google),ollama,Potential data breach through unauthorized Google account access.
Settings (Preferences),UI & Settings,6,27,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0.5,0.5,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Settings (Preferences),ollama,High impact and detectability due to the module's critical nature and the number of major bugs (5) identified in the Settings (Preferences) module.
Super Slow Motion,Editor Core,86,427,3,77,6,0,2,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,45.23376623376623,7.0,0.0,0.0,0.0,0.0,0.0,6,5,5,5,125,Q4 - Test First,Super Slow Motion,ollama,The Super Slow Motion module is a critical component of the Editor Core and any bugs in it can have a high impact on the overall user experience.
Music (My Audio Sources),Audio,4,17,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0.5,0.5,6.333333333333333,5.0,0.0,0.0,0.0,0.0,0.0,1,5,5,5,125,Q4 - Test First,Music (My Audio Sources),ollama,Regressing audio functionality could result in significant user dissatisfaction and loss of trust in the system.
Beats Marker,Audio,31,154,1,28,2,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,12.870967741935484,6.0,0.0,0.0,0.0,0.0,0.0,4,5,5,5,125,Q4 - Test First,Beats Marker,ollama,Critical issues in the Beats Marker module are high-impact and likely to be detected due to the module's critical nature in the Audio category.
