module,category,total_bugs,severity_weighted_total,critical_count,major_count,normal_count,minor_count,edf_count,ux_count,mx_count,mui_count,side_effect_count,at_found_count,function_count,stability_count,performance_count,regression_count,crash_count,anr_count,ui_count,localization_count,iap_count,regression_rate,automation_catch_rate,avg_repro_rate,median_repro_rate,avg_days_to_close,median_days_to_close,avg_builds_to_fix,median_builds_to_fix,open_count,closed_count,postpone_count,unique_reporters,probability_score_auto,impact_score,detectability_score,risk_score_final,quadrant
Music (Creator Music),Uncategorized,37,181,1,33,3,0,0,4,0,0,0,0,0,0,0,0,0,0,18,0,0,0.0,0.0,0.5,0.5,11.147058823529411,10.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,0,
Face Reshape,Enhance & Fix,37,176,0,34,3,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0.027,0.027,0.5,0.5,54.861111111111114,7.0,0.0,0.0,0.0,0.0,0.0,3,5,0,0,0,
Text to Video,AI Features,36,160,2,24,10,0,7,9,0,1,1,0,0,0,1,0,0,0,3,0,0,0.0278,0.0,0.5,0.5,5.7407407407407405,5.0,0.0,0.0,0.0,0.0,1.0,5,5,0,0,0,
Video Effects,Visual Effects,33,159,0,31,2,0,1,3,0,2,0,2,0,0,0,0,0,0,1,0,0,0.0,0.0606,0.5,0.5,15.233333333333333,7.0,0.0,0.0,0.0,0.0,1.0,6,5,0,0,0,
Tool menu,Uncategorized,33,156,0,30,3,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0303,0.0,0.5,0.5,28.032258064516128,6.0,0.0,0.0,0.0,0.0,0.0,2,5,0,0,0,
My Voices,AI Features,36,155,1,25,10,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0278,0.0,0.5,0.5,6.103448275862069,10.0,0.0,0.0,0.0,0.0,0.0,3,5,0,0,0,
Add Media,Media Picker,31,155,2,26,2,1,3,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0323,0.0,0.5,0.5,40.916666666666664,9.0,0.0,0.0,0.0,0.0,2.0,5,5,0,0,0,
Shortcut(AI Audio Tool),Audio,30,155,1,29,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0333,0.0,0.5,0.5,8.642857142857142,2.0,0.0,0.0,0.0,0.0,1.0,7,5,0,0,0,
Beats Marker,Audio,31,154,1,28,2,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,12.870967741935484,6.0,0.0,0.0,0.0,0.0,0.0,4,5,0,0,0,
Settings,UI & Settings,32,151,0,29,3,0,0,1,0,2,0,0,0,0,0,0,0,0,12,0,0,0.0,0.0,0.5,0.5,30.310344827586206,4.0,0.0,0.0,0.0,0.0,0.0,4,5,0,0,0,
Cutout,Background & Cutout,32,150,1,26,5,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,33.90625,12.0,0.0,0.0,0.0,0.0,0.0,6,5,0,0,0,
Audio Tool,Audio,29,147,1,27,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0345,0.0,0.5,0.5,6.0476190476190474,5.0,0.0,0.0,0.0,0.0,1.0,5,5,0,0,0,
Voice-Over,Audio,29,144,1,26,2,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,46.30434782608695,5.0,0.0,0.0,0.0,0.0,1.0,4,5,0,0,0,
Shortcut(Tempo Effect),Uncategorized,27,140,1,26,0,0,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0.037,0.0,0.5,0.5,26.043478260869566,2.0,0.0,0.0,0.0,0.0,1.0,4,5,0,0,0,
Effects,Visual Effects,26,135,1,25,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0.0,0.1154,0.5,0.5,19.291666666666668,9.0,0.0,0.0,0.0,0.0,0.0,6,5,0,0,0,
Produce,Export & Output,27,132,0,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,36.65217391304348,13.0,0.0,0.0,0.0,0.0,0.0,6,5,0,0,0,
Shortcut(Auto Captions),Text & Captions,26,127,0,25,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,11.428571428571429,5.0,0.0,0.0,0.0,0.0,0.0,4,5,0,0,0,
Canvas,Uncategorized,24,125,1,23,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,16.956521739130434,2.0,0.0,0.0,0.0,0.0,0.0,3,5,0,0,0,
Video Enhance,Enhance & Fix,27,122,1,20,6,0,0,8,0,2,1,0,0,0,0,0,0,0,1,0,0,0.037,0.0,0.5,0.5,24.09090909090909,7.0,0.0,0.0,0.0,0.0,0.0,7,5,0,0,0,
Sticker,Visual Effects,23,122,2,20,1,0,2,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.1304,0.5,0.5,40.8421052631579,5.0,0.0,0.0,0.0,0.0,0.0,8,5,0,0,0,
Music (Search Music),Uncategorized,26,120,1,20,5,0,0,2,0,0,1,0,0,0,0,0,0,0,10,0,0,0.0385,0.0,0.5,0.5,7.44,6.0,0.0,0.0,0.0,0.0,0.0,2,5,0,0,0,
Shortcut(Image Enhancer),Enhance & Fix,24,120,0,24,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,25.68421052631579,10.0,0.0,0.0,0.0,0.0,0.0,3,5,0,0,0,
Auto Mosaic,Enhance & Fix,25,119,0,23,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,27.523809523809526,8.0,0.0,0.0,0.0,0.0,1.0,8,5,0,0,0,
Body Effects,Enhance & Fix,22,119,3,17,2,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0.0455,0.0909,0.5,0.5,7.35,4.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,0,
Crop & Rotate,Editor Core,22,115,1,21,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.5,0.5,27.142857142857142,9.0,0.0,0.0,0.0,0.0,0.0,4,5,0,0,0,
Motion Swap,AI Features,27,111,0,19,8,0,0,3,0,0,1,0,0,0,0,0,0,0,9,0,0,0.037,0.0,0.5,0.5,3.76,2.0,0.0,0.0,0.0,0.0,0.0,4,5,0,0,0,
IAP(B version),IAP,22,110,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,26.61904761904762,13.0,0.0,0.0,0.0,0.0,0.0,3,5,0,0,0,
Shortcut(AI Scene),AI Features,20,110,2,18,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,5.684210526315789,4.0,0.0,0.0,0.0,0.0,0.0,4,5,0,0,0,
Auto Edit(Family 03),Editor Core,21,105,0,21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,10.65,6.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,0,
Auto Edit(Pet 03),Editor Core,20,105,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,5.684210526315789,7.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,0,
GettyImage Music,Uncategorized,20,105,1,19,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,12.35,6.0,0.0,0.0,0.0,0.0,0.0,3,5,0,0,0,
Shortcut(AI Sketch),AI Features,21,105,0,21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,4.833333333333333,2.5,0.0,0.0,0.0,0.0,0.0,4,5,0,0,0,
Launch,Launcher,14,105,7,7,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.0714,0.1429,0.5,0.5,10.923076923076923,8.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,0,
Opening intro,Launcher,20,100,0,20,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,4.611111111111111,4.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,0,
Pro+(VIP Benefits),Uncategorized,21,99,3,11,7,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.5,0.5,9.882352941176471,4.0,108.0,108.0,0.0,0.0,0.0,3,5,0,0,0,
Audio Mixing,Audio,20,97,0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,52.4,18.0,0.0,0.0,0.0,0.0,0.0,6,5,0,0,0,
Media Picker,Media Picker,21,96,0,18,3,0,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,48.75,17.5,0.0,0.0,0.0,0.0,0.0,6,5,0,0,0,
Text(Neon),Uncategorized,18,95,1,17,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,67.6470588235294,6.0,0.0,0.0,0.0,0.0,0.0,3,5,0,0,0,
Credit,UI & Settings,20,94,0,18,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0.0,0.0,0.5,0.5,12.11111111111111,1.5,0.0,0.0,0.0,0.0,0.0,6,5,0,0,0,
Summer Promotion (interstitial),Visual Effects,24,93,0,15,9,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.5,0.5,6.565217391304348,4.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,0,
IAP(JP Golden Week),IAP,20,91,0,17,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,6.1,6.0,0.0,0.0,0.0,0.0,0.0,2,5,0,0,0,
AI Creation,AI Features,17,90,1,16,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.5,0.5,75.07142857142857,8.5,240.0,0.0,0.0,0.0,0.0,5,5,0,0,0,
AI Effect,AI Features,18,89,1,15,2,0,1,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0.0,0.1111,0.5,0.5,61.25,5.5,0.0,0.0,0.0,0.0,0.0,6,5,0,0,0,
Launcher(Project),Editor Core,18,84,0,16,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.5,0.5,35.4375,3.0,0.0,0.0,0.0,0.0,1.0,4,5,0,0,0,
Music (iStock),Uncategorized,17,81,1,13,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7.857142857142857,3.5,0.0,0.0,0.0,0.0,0.0,2,5,0,0,0,
Auto Edit (Media Picker),Editor Core,18,81,0,15,3,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,4.0625,2.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,0,
Mask,Background & Cutout,18,81,0,15,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,48.833333333333336,9.0,0.0,0.0,0.0,0.0,0.0,7,5,0,0,0,
Installer Package,QA / Testing,16,80,0,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0.0,1.0,0.5,0.5,15.4375,15.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,0,
Text (Neon),Uncategorized,14,77,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,17.384615384615383,12.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,0,
AI Storytelling (Text),AI Features,23,76,0,10,13,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,17.5,9.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,0,
Text(Style),Uncategorized,15,75,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,18.714285714285715,10.5,0.0,0.0,0.0,0.0,0.0,2,5,0,0,0,
Cutout(Change Background),Background & Cutout,11,75,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,4.636363636363637,2.0,0.0,0.0,0.0,0.0,0.0,2,5,0,0,0,
Auto Edit(Family 01),Editor Core,15,75,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,27.357142857142858,7.5,0.0,0.0,0.0,0.0,0.0,2,5,0,0,0,
Stabilizer,Enhance & Fix,15,75,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,54.714285714285715,16.5,0.0,0.0,0.0,0.0,0.0,3,5,0,0,0,
Auto Edit (Travel 01),Editor Core,15,75,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,29.46153846153846,7.0,0.0,0.0,0.0,0.0,1.0,2,5,0,0,0,
Text(Font),Uncategorized,15,72,0,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,8.214285714285714,5.5,0.0,0.0,0.0,0.0,0.0,3,5,0,0,0,
Auto Edit (Infatuation),Editor Core,14,70,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,29.285714285714285,7.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,0,
Title,Text & Captions,14,70,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,2.6153846153846154,1.0,0.0,0.0,0.0,0.0,0.0,3,5,0,0,0,
Template,Text & Captions,12,70,2,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,44.111111111111114,10.0,0.0,0.0,0.0,0.0,0.0,2,5,0,0,0,
Video Upscaler,Enhance & Fix,14,70,0,14,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,48.357142857142854,3.0,0.0,0.0,0.0,0.0,0.0,3,5,0,0,0,
Auto Edit(Text),Editor Core,16,68,0,12,4,0,5,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0625,0.0,0.5,0.5,29.53846153846154,15.0,0.0,0.0,0.0,0.0,0.0,4,5,0,0,0,
Ripple Editing,Editor Core,14,67,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,3.769230769230769,3.0,0.0,0.0,0.0,0.0,0.0,3,5,0,0,0,
Preview,Export & Output,13,67,1,11,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,59.18181818181818,24.0,0.0,0.0,0.0,0.0,0.0,4,5,0,0,0,
Launcher(AI Audio),Uncategorized,11,65,2,9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0909,0.0,0.5,0.5,2.4444444444444446,2.0,0.0,0.0,0.0,0.0,0.0,2,5,0,0,0,
Auto Edit (Text),Editor Core,13,65,0,13,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.5,0.5,16.90909090909091,7.0,0.0,0.0,0.0,0.0,0.0,2,5,0,0,0,
Auto Edit(Relationship 02),Editor Core,13,65,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,14.0,10.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,0,
Shortcut(AI Cartoon),AI Features,12,65,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,4.363636363636363,5.0,0.0,0.0,0.0,0.0,0.0,4,5,0,0,0,
Shortcut(AI Art),AI Features,13,65,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,36.2,4.5,0.0,0.0,0.0,0.0,0.0,4,5,0,0,0,
AI Effect(AI Art/Scene),AI Features,14,64,0,12,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,5.642857142857143,6.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0,0,
Photo Enhance,Enhance & Fix,14,64,0,12,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,9.0,5.0,0.0,0.0,0.0,0.0,0.0,2,5,0,0,0,
IAP(Anniversary),IAP,14,64,0,12,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,27.6,10.0,0.0,0.0,0.0,0.0,0.0,2,5,0,0,0,
Adjust,Color & Adjust,13,61,0,12,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7.888888888888889,7.0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,0,
